variavel,limite_inferior,limite_superior,qtd_outliers,percentual_outliers,minimo,maximo
residual sugar,0.8499999999999996,3.6500000000000004,95,9.33,0.9,15.5
chlorides,0.04000000000000002,0.11999999999999998,71,6.97,0.012,0.611
sulphates,0.29500000000000015,0.9749999999999999,41,4.03,0.33,2.0
fixed acidity,4.1,12.1,37,3.63,4.6,15.9
total sulfur dioxide,-40.5,123.5,33,3.24,6.0,289.0
density,0.9921899999999999,1.00121,30,2.95,0.99007,1.00369
pH,2.925,3.6849999999999996,24,2.36,2.74,4.01
free sulfur dioxide,-14.0,42.0,16,1.57,1.0,68.0
volatile acidity,0.007500000000000007,1.0275,10,0.98,0.12,1.58
alcohol,6.950000000000001,13.749999999999998,6,0.59,8.4,14.9
citric acid,-0.4049999999999999,0.9149999999999999,1,0.1,0.0,1.0
